No.,Date,Day of Week,Market Status,Trading Session Type,Market Open (ET),Market Close (ET),Early Close,Notes
41,2025/3/4,星期二,可交易,常规交易日,09:30,16:00,否,
42,2025/3/5,星期三,可交易,常规交易日,09:30,16:00,否,
43,2025/3/6,星期四,可交易,常规交易日,09:30,16:00,否,
44,2025/3/7,星期五,可交易,常规交易日,09:30,16:00,否,
45,2025/3/10,星期一,可交易,常规交易日,09:30,16:00,否,
46,2025/3/11,星期二,可交易,常规交易日,09:30,16:00,否,
47,2025/3/12,星期三,可交易,常规交易日,09:30,16:00,否,
48,2025/3/13,星期四,可交易,常规交易日,09:30,16:00,否,
49,2025/3/14,星期五,可交易,常规交易日,09:30,16:00,否,
50,2025/3/17,星期一,可交易,常规交易日,09:30,16:00,否,
51,2025/3/18,星期二,可交易,常规交易日,09:30,16:00,否,
52,2025/3/19,星期三,可交易,常规交易日,09:30,16:00,否,
53,2025/3/20,星期四,可交易,常规交易日,09:30,16:00,否,
54,2025/3/21,星期五,可交易,常规交易日,09:30,16:00,否,
55,2025/3/24,星期一,可交易,常规交易日,09:30,16:00,否,
56,2025/3/25,星期二,可交易,常规交易日,09:30,16:00,否,
57,2025/3/26,星期三,可交易,常规交易日,09:30,16:00,否,
58,2025/3/27,星期四,可交易,常规交易日,09:30,16:00,否,
59,2025/3/28,星期五,可交易,常规交易日,09:30,16:00,否,
60,2025/3/31,星期一,可交易,常规交易日,09:30,16:00,否,
61,2025/4/1,星期二,可交易,常规交易日,09:30,16:00,否,
62,2025/4/2,星期三,可交易,常规交易日,09:30,16:00,否,
63,2025/4/3,星期四,可交易,常规交易日,09:30,16:00,否,
64,2025/4/4,星期五,可交易,常规交易日,09:30,16:00,否,
65,2025/4/7,星期一,可交易,常规交易日,09:30,16:00,否,
66,2025/4/8,星期二,可交易,常规交易日,09:30,16:00,否,
67,2025/4/9,星期三,可交易,常规交易日,09:30,16:00,否,
68,2025/4/10,星期四,可交易,常规交易日,09:30,16:00,否,
69,2025/4/11,星期五,可交易,常规交易日,09:30,16:00,否,
70,2025/4/14,星期一,可交易,常规交易日,09:30,16:00,否,
71,2025/4/15,星期二,可交易,常规交易日,09:30,16:00,否,
72,2025/4/16,星期三,可交易,常规交易日,09:30,16:00,否,
73,2025/4/17,星期四,可交易,常规交易日,09:30,16:00,否,
74,2025/4/21,星期一,可交易,常规交易日,09:30,16:00,否,
75,2025/4/22,星期二,可交易,常规交易日,09:30,16:00,否,
76,2025/4/23,星期三,可交易,常规交易日,09:30,16:00,否,
77,2025/4/24,星期四,可交易,常规交易日,09:30,16:00,否,
78,2025/4/25,星期五,可交易,常规交易日,09:30,16:00,否,
79,2025/4/28,星期一,可交易,常规交易日,09:30,16:00,否,
80,2025/4/29,星期二,可交易,常规交易日,09:30,16:00,否,
81,2025/4/30,星期三,可交易,常规交易日,09:30,16:00,否,
82,2025/5/1,星期四,可交易,常规交易日,09:30,16:00,否,
83,2025/5/2,星期五,可交易,常规交易日,09:30,16:00,否,
84,2025/5/5,星期一,可交易,常规交易日,09:30,16:00,否,
85,2025/5/6,星期二,可交易,常规交易日,09:30,16:00,否,
86,2025/5/7,星期三,可交易,常规交易日,09:30,16:00,否,
87,2025/5/8,星期四,可交易,常规交易日,09:30,16:00,否,
88,2025/5/9,星期五,可交易,常规交易日,09:30,16:00,否,
89,2025/5/12,星期一,可交易,常规交易日,09:30,16:00,否,
90,2025/5/13,星期二,可交易,常规交易日,09:30,16:00,否,
91,2025/5/14,星期三,可交易,常规交易日,09:30,16:00,否,
92,2025/5/15,星期四,可交易,常规交易日,09:30,16:00,否,
93,2025/5/16,星期五,可交易,常规交易日,09:30,16:00,否,
94,2025/5/19,星期一,可交易,常规交易日,09:30,16:00,否,
95,2025/5/20,星期二,可交易,常规交易日,09:30,16:00,否,
96,2025/5/21,星期三,可交易,常规交易日,09:30,16:00,否,
97,2025/5/22,星期四,可交易,常规交易日,09:30,16:00,否,
98,2025/5/23,星期五,可交易,常规交易日,09:30,16:00,否,
99,2025/5/27,星期二,可交易,常规交易日,09:30,16:00,否,
100,2025/5/28,星期三,可交易,常规交易日,09:30,16:00,否,
101,2025/5/29,星期四,可交易,常规交易日,09:30,16:00,否,
102,2025/5/30,星期五,可交易,常规交易日,09:30,16:00,否,
103,2025/6/2,星期一,可交易,常规交易日,09:30,16:00,否,
104,2025/6/3,星期二,可交易,常规交易日,09:30,16:00,否,
105,2025/6/4,星期三,可交易,常规交易日,09:30,16:00,否,
106,2025/6/5,星期四,可交易,常规交易日,09:30,16:00,否,
107,2025/6/6,星期五,可交易,常规交易日,09:30,16:00,否,
108,2025/6/9,星期一,可交易,常规交易日,09:30,16:00,否,
109,2025/6/10,星期二,可交易,常规交易日,09:30,16:00,否,
110,2025/6/11,星期三,可交易,常规交易日,09:30,16:00,否,
111,2025/6/12,星期四,可交易,常规交易日,09:30,16:00,否,
112,2025/6/13,星期五,可交易,常规交易日,09:30,16:00,否,
113,2025/6/16,星期一,可交易,常规交易日,09:30,16:00,否,
114,2025/6/17,星期二,可交易,常规交易日,09:30,16:00,否,
115,2025/6/18,星期三,可交易,常规交易日,09:30,16:00,否,
116,2025/6/20,星期五,可交易,常规交易日,09:30,16:00,否,
117,2025/6/23,星期一,可交易,常规交易日,09:30,16:00,否,
118,2025/6/24,星期二,可交易,常规交易日,09:30,16:00,否,
119,2025/6/25,星期三,可交易,常规交易日,09:30,16:00,否,
120,2025/6/26,星期四,可交易,常规交易日,09:30,16:00,否,
121,2025/6/27,星期五,可交易,常规交易日,09:30,16:00,否,
122,2025/6/30,星期一,可交易,常规交易日,09:30,16:00,否,
123,2025/7/1,星期二,可交易,常规交易日,09:30,16:00,否,
124,2025/7/2,星期三,可交易,常规交易日,09:30,16:00,否,
125,2025/7/3,星期四,可交易,提前收盘,09:30,13:00,是,独立日前一交易日，13:00 ET 提前收盘
126,2025/7/7,星期一,可交易,常规交易日,09:30,16:00,否,
127,2025/7/8,星期二,可交易,常规交易日,09:30,16:00,否,
128,2025/7/9,星期三,可交易,常规交易日,09:30,16:00,否,
129,2025/7/10,星期四,可交易,常规交易日,09:30,16:00,否,
130,2025/7/11,星期五,可交易,常规交易日,09:30,16:00,否,
131,2025/7/14,星期一,可交易,常规交易日,09:30,16:00,否,
132,2025/7/15,星期二,可交易,常规交易日,09:30,16:00,否,
133,2025/7/16,星期三,可交易,常规交易日,09:30,16:00,否,
134,2025/7/17,星期四,可交易,常规交易日,09:30,16:00,否,
135,2025/7/18,星期五,可交易,常规交易日,09:30,16:00,否,
136,2025/7/21,星期一,可交易,常规交易日,09:30,16:00,否,
137,2025/7/22,星期二,可交易,常规交易日,09:30,16:00,否,
138,2025/7/23,星期三,可交易,常规交易日,09:30,16:00,否,
139,2025/7/24,星期四,可交易,常规交易日,09:30,16:00,否,
140,2025/7/25,星期五,可交易,常规交易日,09:30,16:00,否,
141,2025/7/28,星期一,可交易,常规交易日,09:30,16:00,否,
142,2025/7/29,星期二,可交易,常规交易日,09:30,16:00,否,
143,2025/7/30,星期三,可交易,常规交易日,09:30,16:00,否,
144,2025/7/31,星期四,可交易,常规交易日,09:30,16:00,否,
145,2025/8/1,星期五,可交易,常规交易日,09:30,16:00,否,
146,2025/8/4,星期一,可交易,常规交易日,09:30,16:00,否,
147,2025/8/5,星期二,可交易,常规交易日,09:30,16:00,否,
148,2025/8/6,星期三,可交易,常规交易日,09:30,16:00,否,
149,2025/8/7,星期四,可交易,常规交易日,09:30,16:00,否,
150,2025/8/8,星期五,可交易,常规交易日,09:30,16:00,否,
151,2025/8/11,星期一,可交易,常规交易日,09:30,16:00,否,
152,2025/8/12,星期二,可交易,常规交易日,09:30,16:00,否,
153,2025/8/13,星期三,可交易,常规交易日,09:30,16:00,否,
154,2025/8/14,星期四,可交易,常规交易日,09:30,16:00,否,
155,2025/8/15,星期五,可交易,常规交易日,09:30,16:00,否,
156,2025/8/18,星期一,可交易,常规交易日,09:30,16:00,否,
157,2025/8/19,星期二,可交易,常规交易日,09:30,16:00,否,
158,2025/8/20,星期三,可交易,常规交易日,09:30,16:00,否,
159,2025/8/21,星期四,可交易,常规交易日,09:30,16:00,否,
160,2025/8/22,星期五,可交易,常规交易日,09:30,16:00,否,
161,2025/8/25,星期一,可交易,常规交易日,09:30,16:00,否,
162,2025/8/26,星期二,可交易,常规交易日,09:30,16:00,否,
163,2025/8/27,星期三,可交易,常规交易日,09:30,16:00,否,
164,2025/8/28,星期四,可交易,常规交易日,09:30,16:00,否,
165,2025/8/29,星期五,可交易,常规交易日,09:30,16:00,否,
166,2025/9/2,星期二,可交易,常规交易日,09:30,16:00,否,
167,2025/9/3,星期三,可交易,常规交易日,09:30,16:00,否,
168,2025/9/4,星期四,可交易,常规交易日,09:30,16:00,否,
169,2025/9/5,星期五,可交易,常规交易日,09:30,16:00,否,
170,2025/9/8,星期一,可交易,常规交易日,09:30,16:00,否,
171,2025/9/9,星期二,可交易,常规交易日,09:30,16:00,否,
172,2025/9/10,星期三,可交易,常规交易日,09:30,16:00,否,
173,2025/9/11,星期四,可交易,常规交易日,09:30,16:00,否,
174,2025/9/12,星期五,可交易,常规交易日,09:30,16:00,否,
175,2025/9/15,星期一,可交易,常规交易日,09:30,16:00,否,
176,2025/9/16,星期二,可交易,常规交易日,09:30,16:00,否,
177,2025/9/17,星期三,可交易,常规交易日,09:30,16:00,否,
178,2025/9/18,星期四,可交易,常规交易日,09:30,16:00,否,
179,2025/9/19,星期五,可交易,常规交易日,09:30,16:00,否,
180,2025/9/22,星期一,可交易,常规交易日,09:30,16:00,否,
181,2025/9/23,星期二,可交易,常规交易日,09:30,16:00,否,
182,2025/9/24,星期三,可交易,常规交易日,09:30,16:00,否,
183,2025/9/25,星期四,可交易,常规交易日,09:30,16:00,否,
184,2025/9/26,星期五,可交易,常规交易日,09:30,16:00,否,
185,2025/9/29,星期一,可交易,常规交易日,09:30,16:00,否,
186,2025/9/30,星期二,可交易,常规交易日,09:30,16:00,否,
187,2025/10/1,星期三,可交易,常规交易日,09:30,16:00,否,
188,2025/10/2,星期四,可交易,常规交易日,09:30,16:00,否,
189,2025/10/3,星期五,可交易,常规交易日,09:30,16:00,否,
190,2025/10/6,星期一,可交易,常规交易日,09:30,16:00,否,
191,2025/10/7,星期二,可交易,常规交易日,09:30,16:00,否,
192,2025/10/8,星期三,可交易,常规交易日,09:30,16:00,否,
193,2025/10/9,星期四,可交易,常规交易日,09:30,16:00,否,
194,2025/10/10,星期五,可交易,常规交易日,09:30,16:00,否,
195,2025/10/13,星期一,可交易,常规交易日,09:30,16:00,否,
196,2025/10/14,星期二,可交易,常规交易日,09:30,16:00,否,
197,2025/10/15,星期三,可交易,常规交易日,09:30,16:00,否,
198,2025/10/16,星期四,可交易,常规交易日,09:30,16:00,否,
199,2025/10/17,星期五,可交易,常规交易日,09:30,16:00,否,
200,2025/10/20,星期一,可交易,常规交易日,09:30,16:00,否,
201,2025/10/21,星期二,可交易,常规交易日,09:30,16:00,否,
202,2025/10/22,星期三,可交易,常规交易日,09:30,16:00,否,
203,2025/10/23,星期四,可交易,常规交易日,09:30,16:00,否,
204,2025/10/24,星期五,可交易,常规交易日,09:30,16:00,否,
205,2025/10/27,星期一,可交易,常规交易日,09:30,16:00,否,
206,2025/10/28,星期二,可交易,常规交易日,09:30,16:00,否,
207,2025/10/29,星期三,可交易,常规交易日,09:30,16:00,否,
208,2025/10/30,星期四,可交易,常规交易日,09:30,16:00,否,
209,2025/10/31,星期五,可交易,常规交易日,09:30,16:00,否,
210,2025/11/3,星期一,可交易,常规交易日,09:30,16:00,否,
211,2025/11/4,星期二,可交易,常规交易日,09:30,16:00,否,
212,2025/11/5,星期三,可交易,常规交易日,09:30,16:00,否,
213,2025/11/6,星期四,可交易,常规交易日,09:30,16:00,否,
214,2025/11/7,星期五,可交易,常规交易日,09:30,16:00,否,
215,2025/11/10,星期一,可交易,常规交易日,09:30,16:00,否,
216,2025/11/11,星期二,可交易,常规交易日,09:30,16:00,否,
217,2025/11/12,星期三,可交易,常规交易日,09:30,16:00,否,
218,2025/11/13,星期四,可交易,常规交易日,09:30,16:00,否,
219,2025/11/14,星期五,可交易,常规交易日,09:30,16:00,否,
220,2025/11/17,星期一,可交易,常规交易日,09:30,16:00,否,
221,2025/11/18,星期二,可交易,常规交易日,09:30,16:00,否,
222,2025/11/19,星期三,可交易,常规交易日,09:30,16:00,否,
223,2025/11/20,星期四,可交易,常规交易日,09:30,16:00,否,
224,2025/11/21,星期五,可交易,常规交易日,09:30,16:00,否,
225,2025/11/24,星期一,可交易,常规交易日,09:30,16:00,否,
226,2025/11/25,星期二,可交易,常规交易日,09:30,16:00,否,
227,2025/11/26,星期三,可交易,常规交易日,09:30,16:00,否,
228,2025/11/28,星期五,可交易,提前收盘,09:30,13:00,是,感恩节次日，13:00 ET 提前收盘
229,2025/12/1,星期一,可交易,常规交易日,09:30,16:00,否,
230,2025/12/2,星期二,可交易,常规交易日,09:30,16:00,否,
231,2025/12/3,星期三,可交易,常规交易日,09:30,16:00,否,
232,2025/12/4,星期四,可交易,常规交易日,09:30,16:00,否,
233,2025/12/5,星期五,可交易,常规交易日,09:30,16:00,否,
234,2025/12/8,星期一,可交易,常规交易日,09:30,16:00,否,
235,2025/12/9,星期二,可交易,常规交易日,09:30,16:00,否,
236,2025/12/10,星期三,可交易,常规交易日,09:30,16:00,否,
237,2025/12/11,星期四,可交易,常规交易日,09:30,16:00,否,
238,2025/12/12,星期五,可交易,常规交易日,09:30,16:00,否,
239,2025/12/15,星期一,可交易,常规交易日,09:30,16:00,否,
240,2025/12/16,星期二,可交易,常规交易日,09:30,16:00,否,
241,2025/12/17,星期三,可交易,常规交易日,09:30,16:00,否,
242,2025/12/18,星期四,可交易,常规交易日,09:30,16:00,否,
243,2025/12/19,星期五,可交易,常规交易日,09:30,16:00,否,
244,2025/12/22,星期一,可交易,常规交易日,09:30,16:00,否,
245,2025/12/23,星期二,可交易,常规交易日,09:30,16:00,否,
246,2025/12/24,星期三,可交易,提前收盘,09:30,13:00,是,圣诞节前夕，13:00 ET 提前收盘
247,2025/12/26,星期五,可交易,常规交易日,09:30,16:00,否,
248,2025/12/29,星期一,可交易,常规交易日,09:30,16:00,否,
249,2025/12/30,星期二,可交易,常规交易日,09:30,16:00,否,
250,2025/12/31,星期三,可交易,常规交易日,09:30,16:00,否,
