ticker,date,open,high,low,close,volume
AAPL,2025/2/11,211.51,212.18,210.08,210.99,45658699
TSLA,2025/4/22,317.3,321.38,305.25,310.4,66006305
NVDA,2025/3/25,952.16,959.42,935.38,939.38,37185032
TSLA,2025/2/10,319.69,332.52,315.67,327.03,73714315
NVDA,2025/1/16,890.14,896.37,863.69,871.48,76375942
BABA,2025/3/17,76.72,77.31,74.41,74.93,20899005
MSFT,2025/1/10,457.66,462,450.32,455.66,23357489
TSLA,2025/1/24,297.35,312.39,297.08,310.6,70549330
MSFT,2025/3/24,507.97,508.39,495.81,499.65,62501862
AAPL,2025/4/28,192.39,193.15,183.61,184.59,22846411
TSLA,2025/4/10,306.73,315.18,306,314.46,15768078
AAPL,2025/1/13,188.57,190.44,182.86,184.19,79407191
NVDA,2025/2/3,855.34,872.21,853.05,865.29,66293249
JPM,2025/3/17,183.26,189.75,182.8,187.44,3086284
JPM,2025/2/18,211.34,212.54,205.77,208.43,63592532
MSFT,2025/3/11,458.37,458.98,442.55,446.11,64534534
AAPL,2025/4/15,181.57,182.74,177.61,178.9,8346759
MSFT,2025/2/27,484.68,486.12,481.36,484.78,74589266
BABA,2025/2/27,78.61,78.78,77.5,78.48,75444525
MSFT,2025/1/3,419.81,427.64,417.65,426.15,7679803
JPM,2025/4/9,192.14,196.82,190.43,196.55,53654085
NVDA,2025/1/8,948.28,960.69,916.54,926.63,73312122
MSFT,2025/4/1,477.34,477.61,467.25,472.73,22083827
JPM,2025/4/18,205.91,213.23,204.24,211.04,35119132
AAPL,2025/4/9,197.59,198.74,196.72,197.49,32101234
BABA,2025/4/16,78.66,80.57,77.86,79.57,78234168
NVDA,2025/4/10,967.79,981.15,946.82,960.73,29390528
BABA,2025/4/1,72.92,73.35,71.6,72.47,46440155
MSFT,2025/2/4,424.33,434.73,423.86,433.53,20175990
NVDA,2025/3/28,901.03,948,892.17,941.27,62618030
NVDA,2025/1/7,912.01,938.34,910.55,937.54,54949146
BABA,2025/4/23,81.62,83.67,81.47,82.88,22850853
NVDA,2025/3/11,928.55,937.86,919.02,932.47,4079416
MSFT,2025/1/27,427.64,454.77,425.15,447.62,25521362
NVDA,2025/1/3,876.01,891.37,863.84,882.5,79079400
MSFT,2025/2/5,432.71,435.03,429.01,429.39,72198632
MSFT,2025/4/22,456.64,464.7,454.41,458.04,20259357
AAPL,2025/4/4,195.09,197.59,192.71,193.85,18213419
BABA,2025/3/26,70.32,72.31,69.53,71.57,23531375
MSFT,2025/4/4,455.44,457.58,439.76,440.48,15007412
NVDA,2025/1/30,833.16,846.25,828.87,842.28,73409412
BABA,2025/4/21,78.35,81.65,77.95,81.09,54638843
BABA,2025/1/30,75.8,76.42,75.2,76.03,65631113
MSFT,2025/2/6,431.59,436.12,426.19,429.79,77267303
BABA,2025/3/21,72.7,74.26,72.11,73.51,71295339
JPM,2025/2/21,212.9,213.49,211.64,213.06,6320368
NVDA,2025/1/17,868.62,872.56,860.57,865.78,51711659
BABA,2025/4/15,75.25,79.23,73.78,78.95,56961636
NVDA,2025/2/12,892.99,929.31,883.14,927.97,63301327
JPM,2025/1/21,184.09,189.17,183.29,186.39,4005216
BABA,2025/1/17,69.35,74.28,68.87,73.67,30813452
TSLA,2025/2/4,306.81,310.73,302.53,310.16,64082422
JPM,2025/2/28,206.62,207.58,203.81,205.67,22254616
JPM,2025/1/2,194.61,196.93,193.52,196.9,48774114
NVDA,2025/3/19,957.01,982.94,954.57,982.76,71731794
MSFT,2025/4/30,444.77,447.83,436.28,441.84,41006784
JPM,2025/2/25,207.05,207.97,197.98,199.66,68164353
TSLA,2025/1/29,315.82,317.57,311.93,312.43,59405706
BABA,2025/2/6,74.28,79.13,73.85,78.54,36124230
MSFT,2025/2/25,484.74,487.82,481.03,484.65,11024636
AAPL,2025/3/18,199.25,199.81,196.63,199.51,15866056
TSLA,2025/2/17,339.59,341.69,336.45,339.56,47155292
MSFT,2025/3/3,462.47,472.28,458.48,468.14,35180239
AAPL,2025/1/3,193.05,193.07,186.85,187.41,44070347
NVDA,2025/3/24,938.81,954.48,926.59,950.79,50642070
AAPL,2025/3/28,188.45,197.52,186.23,195.22,78313153
AAPL,2025/1/2,191.17,193.51,190.34,191.34,26880902
AAPL,2025/4/8,191.81,196.09,190.85,195.07,68684338
AAPL,2025/2/5,206.52,209.04,203.45,208.67,15823503
MSFT,2025/2/11,440.05,451.07,437.08,447.8,63737849
AAPL,2025/2/13,211.27,218.52,210.16,217.41,53608395
BABA,2025/1/3,73.92,74.08,72.4,72.83,35838077
JPM,2025/3/26,191.32,193.21,189.67,189.81,38934619
BABA,2025/2/14,78.32,80.3,78,80.19,8711756
JPM,2025/2/26,201.14,208.53,199.91,207.24,34762861
MSFT,2025/1/14,446.62,454.94,440.19,450.07,52625687
BABA,2025/2/28,,79.55,77.2,,58392867
BABA,2025/4/29,76.89,77.11,76.47,76.99,21208242
JPM,2025/4/16,208.61,211.43,208.01,210.48,78538152
MSFT,2025/1/23,424.92,431.33,424.61,430.22,45831302
TSLA,2025/3/24,327.85,333.38,325.33,331.7,76166467
MSFT,2025/1/29,449.67,454.39,444.89,446.63,26461979
BABA,2025/1/2,74.42,74.69,72.48,72.77,47369095
MSFT,2025/4/7,438.45,446.28,432.37,434.98,47190372
AAPL,2025/4/11,189.27,190.42,182.11,184.4,23527678
NVDA,2025/1/24,832.03,840.35,822.54,830.35,29280694
NVDA,2025/3/6,869.65,897.94,858.36,896.82,36188445
MSFT,2025/1/28,450.14,457.01,444.96,452.27,52406464
AAPL,2025/3/21,192.16,193.24,189.52,192.34,29087607
JPM,2025/3/18,186.01,191.33,182.66,190.1,48198609
JPM,2025/3/4,200.26,202.04,197.48,199.26,5203927
JPM,2025/1/9,196.86,198.79,190.04,191.1,6285736
MSFT,2025/1/30,450.14,455.68,423.74,425.76,47127513
MSFT,2025/3/12,441.38,459.15,436.03,458.18,41405481
MSFT,2025/2/14,453.14,458.05,442.46,446.86,72155317
NVDA,2025/1/20,862.32,864.95,857.5,859.81,77029449
JPM,2025/3/13,192.96,194.93,187.82,188.12,44773004
TSLA,2025/2/7,318.67,320.31,317.32,319.39,19668699
TSLA,2025/1/2,252.64,254.02,243.41,243.86,32499795
JPM,2025/2/3,207.18,207.95,206.96,207.56,78443277
MSFT,2025/3/26,501.33,512.66,496.34,507.01,14460881
TSLA,2025/1/30,314.76,321.34,304.42,306.44,10064348
JPM,2025/1/20,190.27,191.62,183.85,184.88,68090457
BABA,2025/2/13,76.66,79.47,76.3,78.68,54867145
NVDA,2025/1/28,847.58,857.72,839.41,846.53,28464949
MSFT,2025/1/15,448.41,449.21,440.26,445.33,35516170
MSFT,2025/1/13,453.48,455.57,443.14,445.48,58857705
TSLA,2025/4/24,311.38,311.38,300.72,301.06,30395062
NVDA,2025/4/11,964.19,976.83,932.69,945.46,69387446
BABA,2025/3/14,74.66,76.09,73.87,75.9,38537177
NVDA,2025/3/5,873.28,885.6,866.05,867.92,16127232
AAPL,2025/4/30,185.62,186.29,183.18,184.78,54593623
BABA,2025/1/21,75.92,76.79,73.37,73.54,41612982
NVDA,2025/4/15,949.81,960.17,941.4,946.94,8176749
MSFT,2025/1/7,413.36,427.55,412.54,424.54,37399745
TSLA,2025/3/3,325.02,328.81,321.49,322.97,78746197
MSFT,2025/3/5,477.14,481.99,468.95,473.49,
NVDA,2025/4/1,965.73,994.84,959.75,991.51,55387255
BABA,2025/4/9,76.91,77.15,75.05,75.36,60975553
AAPL,2025/3/20,195.41,196.27,195.37,195.53,63794033
AAPL,2025/3/6,199.73,200.59,191.32,193.35,55302328
MSFT,2025/2/19,477.01,479.55,468.71,472.27,46235708
BABA,2025/1/22,73.41,74.3,73.23,74.28,17310166
JPM,2025/4/30,195.36,204.81,191.38,202.7,69575103
NVDA,2025/2/4,861.98,884.31,853.41,870.61,9522731
MSFT,2025/3/31,467.59,472.7,464.34,472.4,69394983
NVDA,2025/3/20,984.09,987.25,946.15,949.75,36106408
MSFT,2025/2/20,471.26,482.28,469.58,476.61,15145164
NVDA,2025/2/5,871.83,883.32,858.62,880.43,11614325
JPM,2025/1/30,205.32,206.75,203.95,205.53,42409807
TSLA,2025/3/18,319.91,327.47,319.5,326.24,77861504
BABA,2025/3/10,76.22,78.08,75.77,77.58,34914810
JPM,2025/1/29,200.65,206,199.15,204.65,53488892
MSFT,2025/4/23,456.97,468.25,456.84,459.69,36812350
TSLA,2025/4/28,291.03,293.84,281.7,282.48,20342223
AAPL,2025/1/9,185.08,185.57,183.72,184.56,49314141
JPM,2025/4/8,192.37,192.9,190.83,191.39,6401361
MSFT,2025/4/15,417.71,420.94,414.68,415.07,44154500
AAPL,2025/4/17,182.36,184.73,180.23,184.19,61385340
BABA,2025/1/8,68.66,70.17,67.15,67.55,48802874
JPM,2025/2/6,198.87,199.38,194.87,195.5,16867016
AAPL,2025/2/3,210.03,211.96,201.91,204.58,78854468
BABA,2025/3/7,76.42,77.67,75.23,76.54,65048801
NVDA,2025/3/4,884.81,892.16,876.19,881.11,22579578
TSLA,2025/2/14,999.99,1005,995,1001.2,123456789
BABA,2025/2/26,79.44,79.46,78.71,78.95,54079071
AAPL,2025/1/20,194.05,198.66,193,197.57,14926502
NVDA,2025/4/24,943.21,958.15,934.84,956.05,72492949
TSLA,2025/1/21,300.14,304.99,296.62,299.15,69359367
AAPL,2025/1/21,196.7,200.94,196.07,198.21,23880163
BABA,2025/2/19,79.16,81.07,78.88,79.73,29890042
MSFT,2025/2/24,479.4,489.71,474.34,486.07,58626241
JPM,2025/4/23,206.52,207.05,203.65,206,22117627
JPM,2025/3/14,186.76,188.01,181.7,182.91,35756228
JPM,2025/2/10,197.26,201.85,197.15,201.78,16422819
JPM,2025/2/4,206.01,206.47,202.14,202.79,67221043
AAPL,2025/3/17,-12.34,-11.8,-13.1,-12.9,65463826
TSLA,2025/3/31,292.36,296.19,292.24,294.13,18530139
AAPL,2025/1/16,190.29,193.62,189.26,190.44,58463081
TSLA,2025/3/19,323.69,330.45,321.01,328.74,38560608
TSLA,2025/2/27,328.66,330.78,314.08,317.25,32001920
AAPL,2025/1/24,201.05,202.93,198.73,200.12,72560353
TSLA,2025/2/13,337.03,339.09,324.17,326.38,78038805
AAPL,2025/1/14,183.96,188.5,181.44,187.19,41756341
NVDA,2025/2/13,918.51,941.5,918.09,939.43,79708390
JPM,2025/1/28,201.72,203.49,200.73,203.43,58330679
MSFT,2025/1/6,421.3,422.77,407.52,410.47,69597507
BABA,2025/1/20,74.11,76.71,73.48,75.37,33229437
TSLA,2025/1/6,240.71,253.16,239.71,250.81,21544271
JPM,2025/4/22,209.42,210.59,207.68,208.53,29528912
TSLA,2025/1/9,263.86,265.79,260.25,263.27,23601564
JPM,2025/1/27,196.08,201.45,195.22,200.5,46366520
AAPL,2025/1/6,186.27,189.99,183.75,188.89,52985208
MSFT,2025/4/16,413.25,415.9,408.91,415.58,15737394
JPM,2025/2/12,205.87,209.51,205.66,209.42,12959770
TSLA,2025/3/17,327.28,328.69,320.12,321.83,67590123
TSLA,2025/2/19,327.11,327.39,319.76,321.73,2421951
BABA,2025/2/3,76.59,76.86,74.09,74.11,30646323
MSFT,2025/4/14,432.47,441.67,416.2,418,22212358
BABA,2025/3/20,73.12,74.42,72.23,72.47,4198068
BABA,2025/1/13,69.46,70.99,68.41,70.38,34563258
AAPL,2025/4/1,198.48,200.96,192.99,195.42,26961885
BABA,2025/4/2,72.42,74.24,71.95,73.6,78664996
JPM,2025/3/12,192.48,198.19,191.04,193.39,19381695
MSFT,2025/1/24,422.58,427.1,420.87,426.69,0
AAPL,2025/3/24,191.65,194.41,189.99,193.38,50013911
TSLA,2025/4/18,322.45,325.59,315.37,318.71,48422754
TSLA,2025/1/28,302.71,317.54,299.21,315.61,59555234
JPM,2025/3/11,192.24,194.07,190.05,193.35,22858771
TSLA,2025/4/14,319.4,326.37,318.81,323.96,13029642
AAPL,2025/3/4,210.42,211.32,206.55,207.15,55472074
NVDA,2025/2/27,900.97,911.8,881.5,885.57,31036644
BABA,2025/3/19,0,0,0,0,28290566
MSFT,2025/3/14,481.6,486.68,472.65,473.09,3839721
TSLA,2025/4/3,301.08,313.3,297.93,311.08,53238356
JPM,2025/3/7,197.7,199.07,193.4,195.85,5919707
MSFT,2025/4/29,458.84,460.54,440.06,444.73,37356918
TSLA,2025/3/11,326.45,329.01,320.32,322.38,75182904
JPM,2025/2/14,215.92,216.81,210.01,210.48,78175724
MSFT,2025/2/10,420.62,442.25,415.72,438.72,67121257
JPM,2025/3/25,194,194.32,191.42,191.77,24950219
MSFT,2025/3/13,458.05,484.5,457.33,481.08,26103356
JPM,2025/4/24,204.71,205.68,202.19,205.18,3121519
NVDA,2025/3/11,928.55,937.86,919.02,932.47,4079416
NVDA,2025/4/14,945.37,962.34,942.61,949.91,66998472
NVDA,2025/4/28,918.83,946.97,907.36,943.86,6237691
BABA,2025/4/14,77.23,77.32,75.57,75.63,29785503
JPM,2025/4/2,192.13,193.45,182.83,183.51,61176962
TSLA,2025/4/4,314.46,318.27,308.44,311.37,37925043
JPM,2025/3/31,184.38,188.18,182.37,185.67,25412891
NVDA,2025/1/27,826.27,857.69,821.07,846.73,53880053
TSLA,2025/2/20,321.99,334.88,318.22,332.45,42894054
TSLA,2025/3/13,322.52,332.3,319.01,328.89,10113729
BABA,2025/4/30,76.82,77.53,74.23,74.62,65006764
JPM,2025/1/10,191.3,191.64,186.32,187.78,75154537
NVDA,2025/3/17,953.73,980.97,946.91,970.02,30207310
BABA,2025/4/8,76.25,76.91,75.95,76.68,24923287
AAPL,2025/3/27,190.08,190.39,188.17,188.56,14453758
TSLA,2025/2/14,328.25,339.29,325.81,338.75,70441604
JPM,2025/1/6,198.64,199.73,197.98,199.36,51287760
JPM,2025/1/8,199.61,201.08,194.83,196.43,75527047
NVDA,2025/4/16,952.49,959.79,939.77,953.54,50389585
AAPL,2025/4/7,185.12,187.9,184.5,186.33,100
NVDA,2025/2/26,876.91,910.38,869.68,900.41,69838116
MSFT,2025/2/28,489.31,498.07,458.15,461.47,26624086
BABA,2025/1/31,75.43,76.91,74.66,76.44,57785349
AAPL,2025/1/31,212.29,212.6,209.59,210.58,41571427
NVDA,2025/3/21,948,949.69,935.53,946.67,9539207
TSLA,2025/1/27,309.04,315.81,304.3,304.66,57556980
NVDA,2025/2/11,901.04,909.96,892.1,894.32,4061702
TSLA,2025/1/23,306.62,309.41,295.81,296.63,32486904
BABA,2025/3/24,73.69,73.99,71.41,71.97,64689361
JPM,2025/4/7,194.55,196.69,191.48,191.65,67043517
TSLA,2025/3/6,328.29,331.33,320.75,321.96,39680584
AAPL,2025/2/4,205.32,209.68,204.32,206.78,50311242
JPM,2025/3/27,188.09,190.92,183.32,185.3,3203136
JPM,2025/1/17,185.06,191.04,182.99,189.93,31715626
BABA,2025/1/16,70.93,71.73,68.92,69.73,77487036
AAPL,2025/3/25,193.23,193.51,186.09,187.73,37035667
NVDA,2025/4/25,961.29,971.04,913.1,920.64,4544521
NVDA,2025/1/21,861.59,873.67,859.16,872.06,16863832
AAPL,2025/3/7,193.55,198.04,191.93,196.52,78958208
BABA,2025/2/21,82.19,83.32,81.41,81.58,66059866
AAPL,2025/3/11,202.94,206.86,201.54,203.89,9609932
TSLA,2025/3/27,316.45,316.91,308.32,309.07,19405129
MSFT,2025/4/9,433.76,436.94,420.23,423.1,24230025
TSLA,2025/4/2,295.09,302.71,291.79,300.27,72900372
TSLA,2025/3/7,320.22,323.97,316.6,319.04,66721177
BABA,2025/3/28,72.3,74.34,71.41,73.55,75519859
BABA,2025/1/6,73.01,73.65,70.9,71.53,70976276
TSLA,2025/4/15,323.34,327.28,312.83,315.53,18761651
JPM,2025/4/28,201.36,202.16,200.09,202.04,51964581
BABA,2025/2/5,73.07,74.6,72.34,74.27,15536633
NVDA,2025/1/10,901.66,904.18,874.79,883.93,47189132
BABA,2025/2/7,79.35,79.49,75.94,76.18,8559362
TSLA,2025/1/3,242.34,243.73,240.75,242.09,61726660
AAPL,2025/4/18,184,187.38,183.77,185.21,34497443
MSFT,2025/2/13,452.21,461.32,446.51,456.15,37039521
AAPL,2025/1/27,200.93,204.85,193.38,195.59,16086153
JPM,2025/1/13,187.01,188.95,186.08,187.74,55064422
TSLA,2025/4/17,319.29,322.98,316.4,322.88,4321593
NVDA,2025/3/12,932.4,933.79,909.83,912.81,19241456
TSLA,2025/3/28,307.81,310.91,293.11,294.55,24071862
NVDA,2025/2/19,888.45,915.91,883.53,914.04,77205976
TSLA,2025/1/16,290.26,294.72,288.97,292.69,55244965
TSLA,2025/2/18,339.67,344.24,326.31,326.39,46659094
MSFT,2025/4/18,425.96,444.19,424.66,438.66,79754479
AAPL,2025/4/21,186.16,190.96,185.39,189.65,8360759
TSLA,2025/1/7,251.24,258.79,249.61,258.04,67950650
TSLA,2025/4/11,316.6,320.26,316.08,319.04,17067394
BABA,2025/1/23,75.14,76.52,73.73,73.8,33837528
MSFT,2025/1/2,417.33,426.62,416.93,421.01,71657935
AAPL,2025/1/28,195.49,203.19,193.39,200.98,36949424
TSLA,2025/2/6,321.21,325.29,315.39,319.82,34685087
NVDA,2025/1/31,837.8,862.81,830.66,858.22,75796561
JPM,2025/1/24,189.66,196.64,186.43,196,54806961
JPM,2025/1/22,187.71,189.62,187.27,188.21,47557821
TSLA,2025/1/8,256.36,268.02,254.34,265.27,42457675
NVDA,2025/4/30,918.84,925.17,871.93,881.68,69863827
TSLA,2025/3/5,326.01,329.39,325.97,328.03,34980930
TSLA,2025/4/25,302.52,303.28,284.67,288.78,61811613
JPM,2025/4/4,187.51,193.14,185.97,192.69,54675615
NVDA,2025/4/2,993.54,1000.11,986.28,991.45,5104227
MSFT,2025/2/3,427.24,433.74,424.8,428,41465830
JPM,2025/4/3,183.05,188.61,182.06,186.94,54702819
JPM,2025/2/20,207.3,213.78,205.49,212.13,59367419
BABA,2025/3/18,75.17,75.27,72.76,73.28,47325799
NVDA,2025/1/29,846.87,852.84,827.26,,73977450
JPM,2025/3/6,198.81,200.29,195,195.54,34297763
MSFT,2025/4/28,471.4,471.46,454.54,458.81,43687176
MSFT,2025/4/8,431.3,438.04,427.91,434.93,56972833
NVDA,2025/1/2,877.03,887.17,865.47,878.98,50370827
JPM,2025/3/5,198.33,201.08,195,197.29,16538123
BABA,2025/4/7,74.48,76.41,73.97,76.07,4151447
NVDA,2025/4/29,946.67,957.63,923.24,923.38,17243787
BABA,2025/3/5,74.77,75.42,74.67,75.33,60190657
TSLA,2025/1/14,280.94,284.16,279.27,283.22,30467617
AAPL,2025/4/2,195.5,199.52,194.9,195.95,48546137
TSLA,2025/4/9,311.6,314.97,304.59,306.62,36481401
BABA,2025/1/27,75.27,75.65,74.87,75.58,18292166
NVDA,2025/4/18,992.88,1024.04,984.04,1022.2,31929242
JPM,2025/4/29,201.99,203.44,194.36,196.18,67242735
AAPL,2025/2/7,210.4,211,202.62,204.74,25868030
BABA,2025/3/13,73.55,74.83,73.17,74.38,11862355
MSFT,2025/1/22,438.64,442.31,420.04,425.21,11661033
MSFT,2025/4/21,440.3,457,439.19,456.76,50125390
AAPL,2025/1/29,201.35,206.78,199.8,204.83,35321171
TSLA,2025/2/26,337.19,339.03,324.97,327.81,12683302
BABA,2025/3/31,73.25,73.81,71.6,71.99,68438326
TSLA,2025/1/22,301.24,303.86,298.49,303.54,79873052
TSLA,2025/1/20,300.57,301.54,294.92,297.7,65629501
JPM,2025/4/21,212.8,214.33,208.99,209.74,43033912
NVDA,2025/4/21,1018.69,1028.1,995.21,1003.44,22059567
TSLA,2025/3/25,335.22,337.77,324.42,328.58,11471061
AAPL,2025/1/7,188.77,190.96,187.62,188.85,37011593
MSFT,2025/1/31,425.32,431.69,423.63,426.13,76512095
TSLA,2025/2/28,315.75,325.03,314,323.17,7252262
AAPL,2025/4/29,184.68,186.04,182.52,185.42,75103123
AAPL,2025/1/22,199.24,200.88,194.75,195.82,76180892
JPM,2025/1/14,188.96,191.72,188.23,190.74,43615049
BABA,2025/2/12,77.11,77.77,75.84,76.61,22132264
AAPL,2025/3/12,204.14,212.79,202.16,211.59,40199180
TSLA,2025/1/17,294.5,298.83,293.38,298.14,32607464
BABA,2025/4/10,74.77,76.76,74.02,76.74,29497563
MSFT,2025/3/17,467.82,472.4,462.76,463.56,37657337
BABA,2025/2/10,76.23,76.7,74.63,75.07,45009420
NVDA,2025/4/23,989.52,1001.85,936.73,948.81,43324230
NVDA,2025/3/14,940.79,967.66,938.31,954.83,39631674
NVDA,2025/2/25,99999.99,100500,99800,100000,35869605
NVDA,2025/1/6,883.33,923.18,881.23,918.25,41408769
BABA,2025/4/4,75.97,76.56,73.21,74.4,17686432
MSFT,2025/3/4,466.65,475.47,461.14,473.44,44524971
JPM,2025/4/1,,195.79,184.65,192.09,52553935
TSLA,2025/4/7,311.25,317.34,309.23,316.15,31391131
JPM,2025/4/17,209.39,211.42,204.67,206.49,58154392
BABA,2025/4/28,78.75,79.49,77.12,77.39,33899589
TSLA,2025/3/21,323.62,333.42,320.47,329.21,70089159
BABA,2025/3/11,76.86,76.87,75.42,75.98,9821928
MSFT,2025/3/28,493.32,497.07,466.93,469.67,60474010
JPM,2025/4/15,209.01,209.66,204.06,207.9,58428835
BABA,2025/2/18,79.29,80.53,78.91,79.41,34419549
MSFT,2025/2/26,485.2,486.79,483.39,485.22,54944738
TSLA,2025/2/11,324.8,333.22,324.4,329.93,20146178
